position,team,played,goal_difference,points,matchweek
1,Liverpool,1,4,3,1
2,Chelsea,1,3,3,1
3,Bournemouth,1,2,3,1
4,Crystal Palace,1,2,3,1
5,Man City,1,2,3,1
6,Watford,1,2,3,1
7,Man Utd,1,1,3,1
8,Spurs,1,1,3,1
9,Everton,1,0,1,1
10,Wolves,1,0,1,1
11,Burnley,1,0,1,1
12,Southampton,1,0,1,1
13,Leicester,1,-1,0,1
14,Newcastle,1,-1,0,1
15,Arsenal,1,-2,0,1
16,Brighton,1,-2,0,1
17,Cardiff,1,-2,0,1
18,Fulham,1,-2,0,1
19,Huddersfield,1,-3,0,1
20,West Ham,1,-4,0,1
1,Man City,2,7,6,2
2,Liverpool,2,6,6,2
3,Chelsea,2,4,6,2
4,Watford,2,4,6,2
5,Spurs,2,3,6,2
6,Bournemouth,2,3,6,2
7,Everton,2,1,4,2
8,Leicester,2,1,3,2
9,Man Utd,2,0,3,2
10,Crystal Palace,2,0,3,2
11,Brighton,2,-1,3,2
12,Newcastle,2,-1,1,2
13,Southampton,2,-1,1,2
14,Wolves,2,-2,1,2
15,Burnley,2,-2,1,2
16,Cardiff,2,-2,1,2
17,Arsenal,2,-3,0,2
18,Fulham,2,-4,0,2
19,West Ham,2,-5,0,2
20,Huddersfield,2,-8,0,2
1,Liverpool,3,7,9,3
2,Spurs,3,6,9,3
3,Chelsea,3,5,9,3
4,Watford,3,5,9,3
5,Man City,3,7,7,3
6,Bournemouth,3,3,7,3
7,Leicester,3,2,6,3
8,Everton,3,1,5,3
9,Arsenal,3,-1,3,3
10,Crystal Palace,3,-1,3,3
11,Fulham,3,-2,3,3
12,Brighton,3,-2,3,3
13,Man Utd,3,-3,3,3
14,Wolves,3,-2,2,3
15,Cardiff,3,-2,2,3
16,Newcastle,3,-2,1,3
17,Southampton,3,-2,1,3
18,Burnley,3,-4,1,3
19,Huddersfield,3,-8,1,3
20,West Ham,3,-7,0,3
1,Liverpool,4,8,12,4
2,Chelsea,4,7,12,4
3,Watford,4,6,12,4
4,Man City,4,8,10,4
5,Spurs,4,5,9,4
6,Bournemouth,4,1,7,4
7,Everton,4,1,6,4
8,Leicester,4,1,6,4
9,Arsenal,4,0,6,4
10,Man Utd,4,-1,6,4
11,Wolves,4,-1,5,4
12,Southampton,4,0,4,4
13,Fulham,4,-2,4,4
14,Brighton,4,-2,4,4
15,Crystal Palace,4,-3,3,4
16,Cardiff,4,-3,2,4
17,Huddersfield,4,-8,2,4
18,Newcastle,4,-3,1,4
19,Burnley,4,-6,1,4
20,West Ham,4,-8,0,4
1,Chelsea,5,10,15,5
2,Liverpool,5,9,15,5
3,Man City,5,11,13,5
4,Watford,5,5,12,5
5,Bournemouth,5,3,10,5
6,Spurs,5,4,9,5
7,Arsenal,5,1,9,5
8,Man Utd,5,0,9,5
9,Wolves,5,0,8,5
10,Everton,5,-1,6,5
11,Leicester,5,-1,6,5
12,Crystal Palace,5,-2,6,5
13,Southampton,5,0,5,5
14,Brighton,5,-2,5,5
15,Fulham,5,-5,4,5
16,West Ham,5,-6,3,5
17,Cardiff,5,-6,2,5
18,Huddersfield,5,-9,2,5
19,Newcastle,5,-4,1,5
20,Burnley,5,-7,1,5
1,Liverpool,6,12,18,6
2,Man City,6,16,16,6
3,Chelsea,6,10,16,6
4,Watford,6,5,13,6
5,Spurs,6,5,12,6
6,Arsenal,6,3,12,6
7,Man Utd,6,0,10,6
8,Bournemouth,6,-1,10,6
9,Leicester,6,1,9,6
10,Wolves,6,0,9,6
11,Crystal Palace,6,-2,7,6
12,Everton,6,-3,6,6
13,Brighton,6,-3,5,6
14,Southampton,6,-3,5,6
15,Fulham,6,-5,5,6
16,Burnley,6,-3,4,6
17,West Ham,6,-6,4,6
18,Newcastle,6,-4,2,6
