Liverpool,Chelsea,AFC Bournemouth,Crystal Palace,Man City,Watford,Man Utd,Spurs,Everton,Wolves,Burnley,Southampton,Leicester,Newcastle,Arsenal,Brighton,Cardiff,Fulham,Huddersfield,West Ham
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,6.0,3.0,6.0,6.0,3.0,6.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
9.0,9.0,7.0,3.0,7.0,9.0,3.0,9.0,5.0,2.0,1.0,1.0,6.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0
12.0,12.0,7.0,3.0,10.0,12.0,6.0,9.0,6.0,5.0,1.0,4.0,6.0,1.0,6.0,4.0,2.0,4.0,2.0,0.0
15.0,15.0,10.0,6.0,13.0,12.0,9.0,9.0,6.0,8.0,1.0,5.0,6.0,1.0,9.0,5.0,2.0,4.0,2.0,3.0
18.0,16.0,10.0,7.0,16.0,13.0,10.0,12.0,6.0,9.0,4.0,5.0,9.0,2.0,12.0,5.0,2.0,5.0,2.0,4.0
19.0,17.0,13.0,7.0,19.0,13.0,10.0,15.0,9.0,12.0,7.0,5.0,12.0,2.0,15.0,5.0,2.0,5.0,2.0,7.0
20.0,20.0,16.0,7.0,20.0,13.0,13.0,18.0,12.0,15.0,8.0,5.0,12.0,2.0,18.0,8.0,2.0,5.0,3.0,7.0
23.0,21.0,17.0,7.0,23.0,16.0,14.0,21.0,15.0,15.0,8.0,6.0,12.0,2.0,21.0,11.0,5.0,5.0,3.0,7.0
26.0,24.0,20.0,8.0,26.0,19.0,17.0,21.0,15.0,15.0,8.0,7.0,13.0,3.0,22.0,14.0,5.0,5.0,3.0,8.0
27.0,27.0,20.0,8.0,29.0,19.0,20.0,24.0,18.0,15.0,8.0,7.0,16.0,6.0,23.0,14.0,5.0,5.0,6.0,11.0
30.0,28.0,20.0,8.0,32.0,20.0,20.0,27.0,19.0,16.0,9.0,8.0,17.0,9.0,24.0,14.0,8.0,5.0,7.0,12.0
33.0,28.0,20.0,9.0,35.0,20.0,21.0,30.0,22.0,16.0,9.0,8.0,18.0,12.0,27.0,15.0,8.0,8.0,10.0,12.0
36.0,31.0,20.0,12.0,38.0,20.0,22.0,30.0,22.0,16.0,9.0,9.0,21.0,12.0,30.0,18.0,11.0,8.0,10.0,15.0
39.0,31.0,23.0,12.0,41.0,20.0,23.0,33.0,23.0,19.0,9.0,9.0,22.0,13.0,31.0,21.0,11.0,9.0,10.0,18.0
